sample_uid	sample_name	raw_contigs	post_qc_absolute_seqs	post_qc_unique_seqs	post_taxa_id_absolute_symbiodiniaceae_seqs	post_taxa_id_unique_symbiodiniaceae_seqs	size_screening_violation_absolute	size_screening_violation_unique	post_taxa_id_absolute_non_symbiodiniaceae_seqs	post_taxa_id_unique_non_symbiodiniaceae_seqs	post_med_absolute	post_med_unique	noName Clade A	noName Clade B	noName Clade C	noName Clade D	noName Clade E	noName Clade F	noName Clade G	noName Clade H	noName Clade I	sample_type	host_phylum	host_class	host_order	host_family	host_genus	host_species	collection_latitude	collection_longitude	collection_date	collection_depth
106239	CH_Dlab_50_2019	42882	30943	536	30943	536	0	0	0	0	30232	28	0	8928	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30011200	64.71675200	2019.07.27	9.6
106213	ET_Dlab_62_2019	69886	48533	658	48449	656	0	0	84	2	46008	35	0	5247	14	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Mussidae	Diploria	labrynthiformis	18.30018900	64.71677400	2019.07.24	7.1
106276	WP_Ssid_59_2019	39112	29278	534	29278	534	0	0	0	0	28986	8	0	0	614	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2019.07.29	9.4
106219	CH_Ssid_46_2018	35487	26520	449	26520	449	0	0	0	0	26117	11	0	0	1054	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30011200	64.71675200	2018.08.16	9.4
106166	WP_Ssid_72_2017	22607	15574	282	15574	282	0	0	0	0	15490	10	0	0	535	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2017.08.03	9.4
106178	WP_Ssid_108_2017	26886	19818	375	19818	375	0	0	0	0	19675	16	0	11	948	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2017.08.04	9.3
106105	CH_Ssid_46_2017	27163	20133	365	20133	365	0	0	0	0	19881	16	0	25	858	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30011200	64.71675200	2017.07.29	9.4
106241	CH_Ssid_46_2019	22142	16729	322	16729	322	0	0	0	0	16537	13	0	0	976	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30011200	64.71675200	2019.07.27	9.4
106186	WP_Ssid_77_2017	18039	13413	262	13408	261	5	1	0	0	13284	30	0	37	330	10	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Siderastreidae 	Siderastrea	siderea	18.30025300	64.71693500	2017.08.04	9.3
106116	CH_Oann_80_2017	38039	26982	393	26982	393	0	0	0	0	26414	14	0	0	0	0	0	0	0	0	0	coral_field	Cnidaria	Anthozoa	Scleractinia	Merulinidae	Orbicella	annularis	18.30011200	64.71675200	2017.07.30	8.4
